,species_id,,code
,1331,,turili
,1334,,turmer
,1335,,turmig
,1336,,turobs
,1337,,turpil
,1338,,turtor
,1342,,turatr
,1343,,turruf
,1345,,tureun
,1346,,turnau
,1347,,turena
,1348,,tursp.
,1349,,tursp.
,1350,,musdau
,1351,,musdwi
,1352,,musstr
,1355,,mussp.
,1356,,cergal
,1358,,erirub
,1359,,larsib
,1360,,larcya
,1361,,iragut
,1362,,luslus
,1363,,lusmeg
,1366,,luslme
,1367,,lussve
,1371,,calcal
,1372,,tarcya
,1373,,tarcru
,1374,,ficali
,1375,,ficpar
,1376,,ficapa
,1377,,ficsem
,1378,,fichyp
,1379,,ficspe
,1380,,fichsp
,1381,,ficalo
,1383,,fichas
,1384,,ficsp.
,1385,,phoful
,1386,,phoery
,1387,,pholeu
,1388,,phomou
,1389,,phopho
,1392,,phooch
,1396,,phopoc
,1397,,phosp.
,1398,,monsax
,1399,,monsol
,1401,,monsp.
,1402,,saxrut
,1403,,saxdac
,1404,,saxruc
,1405,,saxmau
,1409,,saxrma
,1410,,saxtor
,1411,,saxcap
,1412,,saxsp.
,1413,,oenoen
,1417,,oenisa
,1418,,oenmon
,1419,,oendes
,1420,,oenple
,1421,,oenhis
,1424,,oenohi
,1426,,oencyp
,1427,,oenpcy
,1428,,oenmoe
,1429,,oenpic
,1430,,oenleu
,1431,,oenleo
,1432,,oenfin
,1433,,oenlug
,1434,,oenxan
,1435,,oenxch
,1436,,oensp.
,1437,,mussp.
,1438,,bomgar
,1439,,bomced
,1440,,bomgce
,1441,,plocuc
,1442,,plomel
,1443,,plosp.
,1444,,queery
,1445,,queque
,1446,,euphor
,1447,,eupafe
,1448,,eupsp.
,1449,,esttro
,1450,,estast
,1451,,estatr
,1452,,estsp.
,1453,,amaama
,1455,,lonpun
,1456,,lonmal
,1457,,lonatr
,1458,,lonmat
,1459,,lonmaj
,1460,,estsp.
,1461,,prucol
,1462,,prumon
,1463,,pruatr
,1464,,prumod
,1465,,prusp.
,1466,,pasdom
,1467,,pasita
,1469,,pasdit
,1470,,pashis
,1473,,pasdhi
,1474,,pasihi
,1475,,pasmoa
,1477,,pasmon
,1479,,pasdmo
,1480,,paslut
,1481,,passp.
,1482,,petpet
,1483,,monniv
,1484,,motcin
,1485,,motfla
,1501,,mottsc
,1504,,motfts
,1505,,motcit
,1508,,motalb
,1516,,motsp.
,1517,,antric
,1518,,antrru
,1519,,antgod
,1520,,antcam
,1521,,antber
,1522,,antpra
,1523,,anttri
,1524,,antptr
,1525,,anthod
,1526,,anttho
,1527,,antgus
,1529,,antcer
,1530,,antspi
,1533,,antpsp
,1534,,antpet
,1537,,antspe
,1538,,antrub
,1541,,antsru
,1542,,antsp.
,1543,,fricoe
,1550,,fritey
,1551,,fripol
,1552,,frimon
,1553,,fricmo
,1554,,cocves
,1555,,coccoc
,1556,,carery
,1557,,carrub
,1560,,carros
,1561,,pinenu
,1563,,pyrmur
,1564,,pyrpyu
,1568,,bucgit
,1569,,bucmon
,1570,,leutep
,1572,,chlchl
,1573,,linfla
,1574,,lincan
,1575,,linfca
,1576,,acafla
,1579,,acacab
,1580,,acafca
,1581,,acahor
,1584,,acafho
,1585,,acasp.
,1586,,loxpyt
,1587,,loxcur
,1599,,loxpcu
,1600,,loxcsi
,1601,,loxleu
,1604,,loxsp.
,1605,,carcar
,1608,,carcit
,1609,,carcor
,1610,,serser
,1611,,carcse
,1612,,sercan
,1613,,serpus
,1614,,spispi
,1615,,spisp.
,1616,,acasp.
,1617,,frisp.
,1618,,callap
,1619,,calsp.
,1620,,pleniv
,1621,,plenhy
,1622,,embmel
,1623,,embbru
,1624,,embmbr
,1625,,embcal
,1626,,embfuc
,1627,,embcia
,1628,,embcir
,1629,,embcit
,1630,,embleu
,1632,,embbuc
,1633,,embcin
,1636,,embhor
,1637,,embcae
,1638,,embsah
,1639,,embstr
,1640,,embpal
,1641,,embsch
,1642,,embpsc
,1643,,embaur
,1644,,embpus
,1645,,embrus
,1646,,embspo
,1648,,embrut
,1649,,embchr
,1650,,embsp.
,1651,,spiarb
,1652,,pasili
,1654,,junhye
,1657,,zonleu
,1660,,zonalb
,1661,,passan
,1663,,melmel
,1666,,mellin
,1668,,xanxan
,1669,,dolory
,1670,,ictgal
,1671,,ictbga
,1672,,molate
,1673,,quiqui
,1675,,seiaur
,1676,,parmot
,1677,,parnov
,1678,,verchr
,1679,,vercya
,1681,,mnivar
,1682,,procit
,1683,,leiper
,1684,,opoagi
,1685,,geotri
,1687,,setcit
,1688,,setrut
,1689,,settig
,1690,,setame
,1691,,setmag
,1692,,setcas
,1693,,setfus
,1694,,setpet
,1696,,setpen
,1697,,setstr
,1698,,setcae
,1699,,setcor
,1701,,setdom
,1703,,setdis
,1704,,setvir
,1705,,carcan
,1706,,carpus
,1708,,parsp.
,1709,,pirrub
,1710,,piroli
,1711,,phelud
,1712,,pascae
,1713,,pascya
,1714,,spiame
,1715,,passp.
,1716,,avesp.
